Index,Id,Name,Level,Rarity,Type,Class,Tag1,Tag2,Tag3,Description,Price,IconId,SpriteId,Meta
26,ChampionLeggings_Epic,챔피언 각반,16,2,9,,,,,,400,FantasyHeroes.Basic.Leggings.ChampionArmor,FantasyHeroes.Basic.Leggings.ChampionArmor,
27,ChampionLeggings_Legendary,챔피언 각반,16,3,9,,,,,,600,FantasyHeroes.Basic.Leggings.ChampionArmor,FantasyHeroes.Basic.Leggings.ChampionArmor,
28,ChampionSword_Common,챔피언 소워드,11,0,0,,,,,,20,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,
29,ChampionSword_Rare,챔피언 소워드,11,1,0,,,,,,200,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,
30,ChampionSword_Epic,챔피언 소워드,16,2,0,,,,,,400,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,
31,ChampionSword_Legendary,챔피언 소워드,16,3,0,,,,,,600,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,FantasyHeroes.Basic.MeleeWeapon2H.ChampionBattlehammer,
32,ShadowHelmet_Common,쉐도우 헬멧,21,0,3,,,,,,40,FantasyHeroes.Basic.Helmet.ShadowTunic,FantasyHeroes.Basic.Helmet.ShadowTunic,
33,ShadowHelmet_Rare,쉐도우 헬멧,21,1,3,,,,,,400,FantasyHeroes.Basic.Helmet.ShadowTunic,FantasyHeroes.Basic.Helmet.ShadowTunic,
34,ShadowHelmet_Epic,쉐도우 헬멧,26,2,3,,,,,,800,FantasyHeroes.Basic.Helmet.ShadowTunic,FantasyHeroes.Basic.Helmet.ShadowTunic,
35,ShadowHelmet_Legendary,쉐도우 헬멧,26,3,3,,,,,,1200,FantasyHeroes.Basic.Helmet.ShadowTunic,FantasyHeroes.Basic.Helmet.ShadowTunic,
36,ShadowArmor_Common,쉐도우 갑옷,21,0,2,,,,,,40,FantasyHeroes.Basic.Armor.ShadowTunic,FantasyHeroes.Basic.Armor.ShadowTunic,
37,ShadowArmor_Rare,쉐도우 갑옷,21,1,2,,,,,,400,FantasyHeroes.Basic.Armor.ShadowTunic,FantasyHeroes.Basic.Armor.ShadowTunic,
38,ShadowArmor_Epic,쉐도우 갑옷,26,2,2,,,,,,800,FantasyHeroes.Basic.Armor.ShadowTunic,FantasyHeroes.Basic.Armor.ShadowTunic,
39,ShadowArmor_Legendary,쉐도우 갑옷,26,3,2,,,,,,1200,FantasyHeroes.Basic.Armor.ShadowTunic,FantasyHeroes.Basic.Armor.ShadowTunic,
40,ShadowLeggings_Common,쉐도우 각반,21,0,9,,,,,,40,FantasyHeroes.Basic.Leggings.ShadowTunic,FantasyHeroes.Basic.Leggings.ShadowTunic,
41,ShadowLeggings_Rare,쉐도우 각반,21,1,9,,,,,,400,FantasyHeroes.Basic.Leggings.ShadowTunic,FantasyHeroes.Basic.Leggings.ShadowTunic,
42,ShadowLeggings_Epic,쉐도우 각반,26,2,9,,,,,,800,FantasyHeroes.Basic.Leggings.ShadowTunic,FantasyHeroes.Basic.Leggings.ShadowTunic,
43,ShadowLeggings_Legendary,쉐도우 각반,26,3,9,,,,,,1200,FantasyHeroes.Basic.Leggings.ShadowTunic,FantasyHeroes.Basic.Leggings.ShadowTunic,
44,ShadowSword_Common,쉐도우 소워드,21,0,0,,,,,,40,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,
45,ShadowSword_Rare,쉐도우 소워드,21,1,0,,,,,,400,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,
46,ShadowSword_Epic,쉐도우 소워드,26,2,0,,,,,,800,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,
47,ShadowSword_Legendary,쉐도우 소워드,26,3,0,,,,,,1200,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,FantasyHeroes.Basic.MeleeWeapon2H.ShadowFang,
48,CrusaderHelmet_Common,크루세이더 헬멧,31,0,3,,,,,,80,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,
49,CrusaderHelmet_Rare,크루세이더 헬멧,31,1,3,,,,,,800,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,
50,CrusaderHelmet_Epic,크루세이더 헬멧,36,2,3,,,,,,1600,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,
51,CrusaderHelmet_Legendary,크루세이더 헬멧,36,3,3,,,,,,2400,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,FantasyHeroes.Basic.Helmet.HighCrusaderArmor,
52,CrusaderArmor_Common,크루세이더 갑옷,31,0,2,,,,,,80,FantasyHeroes.Basic.Armor.HighCrusaderArmor,FantasyHeroes.Basic.Armor.HighCrusaderArmor,
53,CrusaderArmor_Rare,크루세이더 갑옷,31,1,2,,,,,,800,FantasyHeroes.Basic.Armor.HighCrusaderArmor,FantasyHeroes.Basic.Armor.HighCrusaderArmor,
54,CrusaderArmor_Epic,크루세이더 갑옷,36,2,2,,,,,,1600,FantasyHeroes.Basic.Armor.HighCrusaderArmor,FantasyHeroes.Basic.Armor.HighCrusaderArmor,
55,CrusaderArmor_Legendary,크루세이더 갑옷,36,3,2,,,,,,2400,FantasyHeroes.Basic.Armor.HighCrusaderArmor,FantasyHeroes.Basic.Armor.HighCrusaderArmor,
56,CrusaderLeggings_Common,크루세이더 각반,31,0,9,,,,,,80,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,
57,CrusaderLeggings_Rare,크루세이더 각반,31,1,9,,,,,,800,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,
58,CrusaderLeggings_Epic,크루세이더 각반,36,2,9,,,,,,1600,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,
59,CrusaderLeggings_Legendary,크루세이더 각반,36,3,9,,,,,,2400,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,FantasyHeroes.Basic.Leggings.HighCrusaderArmor,
60,CrusaderSword_Common,크루세이더 소워드,31,0,0,,,,,,80,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,
61,CrusaderSword_Rare,크루세이더 소워드,31,1,0,,,,,,800,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,
62,CrusaderSword_Epic,크루세이더 소워드,36,2,0,,,,,,1600,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,
63,CrusaderSword_Legendary,크루세이더 소워드,36,3,0,,,,,,2400,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,FantasyHeroes.Basic.MeleeWeapon2H.BizarreSword,
